,GithubID,Year,FullPath,Codesnippet,CWE,isTrueVulnerable,Codesnippet5
790,2021\cslim\test\libglusterfs\common-utils.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\libglusterfs\common-utils.cpp.c,"ret = fscanf (fp, ""%s"", callingfn[idx]);",120,1,"        pos = 0;
        for (idx = 0; idx < frames - 2; idx++) {
                ret = fscanf (fp, ""%s"", callingfn[idx]);
                if (ret == (-1))
                        break;
"
1783,2021\cslim\test\libglusterfs\statedump.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\libglusterfs\statedump.cpp.c,"ret = fscanf (fp, ""%s"", buf);",120,1,"                goto out;

        ret = fscanf (fp, ""%s"", buf);

        while (ret != (-1)) {
"
3210,2021\enemy\servertor.c,Dataset Download,../../Dataset Download/2021\enemy\servertor.c,"fscanf(fp, ""%s %s"", accounts[j].username, accounts[j].password);",120,1,"    rewind(fp);
    while(j!=i-1) {
		fscanf(fp, ""%s %s"", accounts[j].username, accounts[j].password);
		++j;
	}
"
3497,2021\haas-mini-program\adapter\platform\linux\network\amp_udp.c,Dataset Download,../../Dataset Download/2021\haas-mini-program\adapter\platform\linux\network\amp_udp.c,"sscanf(line, ""%s %08x %08x %x %d %d %d %08x %d %d %d"",",120,1,"    while (fgets(line, sizeof(line), fp)) {
        if (11 !=
            sscanf(line, ""%s %08x %08x %x %d %d %d %08x %d %d %d"",
                   iface, &destination, &gateway, &flags, &refCnt, &use,
                   &metric, &mask, &mtu, &window, &irtt)) {
"
5338,2021\intelli-switch\stm32\Src\main.c,Dataset Download,../../Dataset Download/2021\intelli-switch\stm32\Src\main.c,"sscanf((char*)temp_buff,""%s %hhu:%hhu:%hhu"",week,&hour,&minute,&second);",120,1,"	memcpy(temp_buff,rev_buff+3,strlen((const char*)rev_buff)-3);
	
	sscanf((char*)temp_buff,""%s %hhu:%hhu:%hhu"",week,&hour,&minute,&second);
	server_Time.Hours = hour;
  server_Time.Minutes = minute;
"
5383,2021\IOTProject\Maintain\doorAccess\cardOpt.c,Dataset Download,../../Dataset Download/2021\IOTProject\Maintain\doorAccess\cardOpt.c,"scanf(""%s"", _pass[(*_idx)++]);",120,1,"{
    printf(""新增卡號: "");
    scanf(""%s"", _pass[(*_idx)++]);
    printf(""新增成功\n"");
}
"
5384,2021\IOTProject\Maintain\doorAccess\cardOpt.c,Dataset Download,../../Dataset Download/2021\IOTProject\Maintain\doorAccess\cardOpt.c,"scanf(""%s"", delID);",120,1,"    char delID[100] = {0};
    printf(""刪除卡號: "");
    scanf(""%s"", delID);
    for (int i = 0; i < _idx; i++)
        if (strcmp(_pass[i], delID) == 0)
"
5386,2021\IOTProject\Maintain\doorAccess\doorAccess.c,Dataset Download,../../Dataset Download/2021\IOTProject\Maintain\doorAccess\doorAccess.c,"scanf(""%s"", ID);",120,1,"  {
    printf(""Please input a Card Number:"");
    scanf(""%s"", ID);

    if (strcmp(""7FEEDCAD"", ID) == 0)
"
5387,2021\IOTProject\Maintain\doorAccess\doorAccess.c,Dataset Download,../../Dataset Download/2021\IOTProject\Maintain\doorAccess\doorAccess.c,"scanf(""%s"", pass[idx++]);",120,1,"                case 'A':
                  printf(""Add new pass:\n"");
                  scanf(""%s"", pass[idx++]);
                  printf(""Add successful!\n"");
                  goto SUPER_USER;
"
5394,2021\IOTProject\Maintain\doorAccess\doorAccessRef.c,Dataset Download,../../Dataset Download/2021\IOTProject\Maintain\doorAccess\doorAccessRef.c,"scanf(""%s"", ch);",120,1,"            printf(""超級使用者模式:\n"");
            printf(""請問要新增卡號(a) 移除卡號 (d) 還是 離開超級使用者系統 (e):"");
            scanf(""%s"", ch);
            switch (ch[0])
            {
"
10430,2021\univ-csProject\DB+C_POS Implement\res_pos.c,Dataset Download,../../Dataset Download/2021\univ-csProject\DB+C_POS Implement\res_pos.c,"scanf(""%s"",date);",120,1,"	
	printf("" 주문내역을 검색할 날짜를 입력하세요. : "");
	scanf(""%s"",date);
	
	append_query(q_final, q_present_order);
"
10439,2021\univ-csProject\DB+C_POS Implement\res_pos.c,Dataset Download,../../Dataset Download/2021\univ-csProject\DB+C_POS Implement\res_pos.c,"scanf(""%s"",bill_Idx);",120,1,"	
	printf("" 주문을 영수증번호를 입력해주세요 : "");
	scanf(""%s"",bill_Idx);

	append_query(q_final, q_delete);
"
10441,2021\univ-csProject\DB+C_POS Implement\res_pos.c,Dataset Download,../../Dataset Download/2021\univ-csProject\DB+C_POS Implement\res_pos.c,"scanf(""%s"", date);",120,1,"
	printf("" 최종결제할 영수증의 날짜를 입력해주세요 : "");
	scanf(""%s"", date);

	printf("" 영수증번호를 입력해주세요 : "");
"
10448,2021\univ-csProject\DB+C_POS Implement\res_pos.c,Dataset Download,../../Dataset Download/2021\univ-csProject\DB+C_POS Implement\res_pos.c,"scanf(""%s"",infoMenu_Price);",120,1,"{
	printf("" 메뉴 가격을 입력하세요. : "");
	scanf(""%s"",infoMenu_Price);
	__fpurge(stdin);
}
"
10451,2021\univ-csProject\DB+C_POS Implement\res_pos.c,Dataset Download,../../Dataset Download/2021\univ-csProject\DB+C_POS Implement\res_pos.c,"scanf(""%s"", infoMenu_Type);",120,1,"{
	printf("" 메뉴 타입 번호를 입력하세요. : "");
	scanf(""%s"", infoMenu_Type);
	__fpurge(stdin);

"
10452,2021\univ-csProject\DB+C_POS Implement\res_pos.c,Dataset Download,../../Dataset Download/2021\univ-csProject\DB+C_POS Implement\res_pos.c,"scanf(""%s"", infoMenu_ID);",120,1,"
	printf("" 메뉴 번호를 입력하세요. : "");
	scanf(""%s"", infoMenu_ID);
	__fpurge(stdin);
}
"
10455,2021\univ-csProject\DB+C_POS Implement\res_pos.c,Dataset Download,../../Dataset Download/2021\univ-csProject\DB+C_POS Implement\res_pos.c,"scanf(""%s"", BuyingDate);",120,1,"
	printf("" 매입하는 날짜를 입력하세요. :"");
	scanf(""%s"", BuyingDate);
	__fpurge(stdin);

"
10456,2021\univ-csProject\DB+C_POS Implement\res_pos.c,Dataset Download,../../Dataset Download/2021\univ-csProject\DB+C_POS Implement\res_pos.c,"scanf(""%s"", EmID);",120,1,"
	printf("" 매입하는 직원ID를  입력하세요. :"");
	scanf(""%s"", EmID);
	__fpurge(stdin);

"
10457,2021\univ-csProject\DB+C_POS Implement\res_pos.c,Dataset Download,../../Dataset Download/2021\univ-csProject\DB+C_POS Implement\res_pos.c,"scanf(""%s"", foods);",120,1,"
	printf("" 매입할 식재료코드를 입력하세요. :"");
	scanf(""%s"", foods);
	__fpurge(stdin);

"
10458,2021\univ-csProject\DB+C_POS Implement\res_pos.c,Dataset Download,../../Dataset Download/2021\univ-csProject\DB+C_POS Implement\res_pos.c,"scanf(""%s"", amount);",120,1,"
	printf("" 매입할 수량을 입력하세요. :"");
	scanf(""%s"", amount);
	__fpurge(stdin);

"
10459,2021\univ-csProject\DB+C_POS Implement\res_pos.c,Dataset Download,../../Dataset Download/2021\univ-csProject\DB+C_POS Implement\res_pos.c,"scanf(""%s"", buyingPrice);",120,1,"
	printf("" 매입한 가격을 입력하세요. :"");
	scanf(""%s"", buyingPrice);
	__fpurge(stdin);

"
10460,2021\univ-csProject\DB+C_POS Implement\res_pos.c,Dataset Download,../../Dataset Download/2021\univ-csProject\DB+C_POS Implement\res_pos.c,"scanf(""%s"", trader);",120,1,"
	printf("" 매입처 코드를 입력하세요. : "");
	scanf(""%s"", trader);
	__fpurge(stdin);
	
"
10465,2021\univ-csProject\DB+C_POS Implement\res_pos.c,Dataset Download,../../Dataset Download/2021\univ-csProject\DB+C_POS Implement\res_pos.c,"scanf(""%s"",&emType);",120,1,"	__fpurge(stdin);
	printf("" 1. 직원 TYPE입력 : "");
	scanf(""%s"",&emType);

	printf("" 2. 직원 이름입력 : "");
"
10469,2021\univ-csProject\DB+C_POS Implement\res_pos.c,Dataset Download,../../Dataset Download/2021\univ-csProject\DB+C_POS Implement\res_pos.c,"scanf(""%s"", &emID);",120,1,"	printf(""   [직원 업무변경 정보입력]\n\n"");
	printf("" 1. 변경 할 직원 ID입력 : "");
	scanf(""%s"", &emID);

	printf("" 2. 바뀔 직원의 Type입력 : "");
"
10470,2021\univ-csProject\DB+C_POS Implement\res_pos.c,Dataset Download,../../Dataset Download/2021\univ-csProject\DB+C_POS Implement\res_pos.c,"scanf(""%s"", &emChType);",120,1,"
	printf("" 2. 바뀔 직원의 Type입력 : "");
	scanf(""%s"", &emChType);

	append_query(q_final, emChType);
"
