GithubID,Year,FullPath,Codesnippet,CWE,isTrueVulnerable,Codesnippet5,
2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_widgets\lv_dropdown.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_widgets\lv_dropdown.c,"strcat(ins_buf, ""\n"");",120,1,"    strcpy(ins_buf, option);
    if(pos < ext->option_cnt)
        strcat(ins_buf, ""\n"");
    _lv_txt_ins(ext->options, _lv_txt_encoded_get_char_id(ext->options, insert_pos), ins_buf);
    _lv_mem_buf_release(ins_buf);
",
2021\aws-edukit-example\components\esp-aws-iot\aws-iot-device-sdk-embedded-C\tests\unit\src\aws_iot_tests_unit_helper_functions.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\esp-aws-iot\aws-iot-device-sdk-embedded-C\tests\unit\src\aws_iot_tests_unit_helper_functions.c,"strcat(des, ""a"");",120,0,"	for(i = 0; i < boundary - currLen - 1; i++) {
		//printf(""%d\n"", i);
		strcat(des, ""a"");
	}
	return ret;
",
2021\CircusESP01Lib\src\CircusESP01Lib.cpp,Dataset Download,../../Dataset Download/2021\CircusESP01Lib\src\CircusESP01Lib.cpp,"strcat(body, ""{\""Key\"":\""""); strcat(body, key);",120,1,"	for( int i = 0; i < sizeof(body);  ++i )
        	body[i] = (char)0;
    	strcat(body, ""{\""Key\"":\""""); strcat(body, key);
    	strcat(body, ""\"",\""Value\"":""); strcat(body, bufValue);
    	strcat(body, "",\""Token\"":\""""); strcat(body, _token); strcat(body, ""\""}"");
",
2021\CircusESP01Lib\src\CircusESP01Lib.cpp,Dataset Download,../../Dataset Download/2021\CircusESP01Lib\src\CircusESP01Lib.cpp,"strcat(body, ""\"",\""Value\"":""); strcat(body, bufValue);",120,1,"        	body[i] = (char)0;
    	strcat(body, ""{\""Key\"":\""""); strcat(body, key);
    	strcat(body, ""\"",\""Value\"":""); strcat(body, bufValue);
    	strcat(body, "",\""Token\"":\""""); strcat(body, _token); strcat(body, ""\""}"");
	int countBody = count(body);
",
2021\CircusESP01Lib\src\CircusESP01Lib.cpp,Dataset Download,../../Dataset Download/2021\CircusESP01Lib\src\CircusESP01Lib.cpp,"strcat(body, "",\""Token\"":\""""); strcat(body, _token); strcat(body, ""\""}"");",120,1,"    	strcat(body, ""{\""Key\"":\""""); strcat(body, key);
    	strcat(body, ""\"",\""Value\"":""); strcat(body, bufValue);
    	strcat(body, "",\""Token\"":\""""); strcat(body, _token); strcat(body, ""\""}"");
	int countBody = count(body);
	char countBodyCharArray[16];
",
2021\CircusESP01Lib\src\CircusESP01Lib.cpp,Dataset Download,../../Dataset Download/2021\CircusESP01Lib\src\CircusESP01Lib.cpp,"strcat(header5, countBodyCharArray); strcat(header5, ""\r\n"");",120,1,"	char countBodyCharArray[16];
	itoa(countBody, countBodyCharArray, 10);
	strcat(header5, countBodyCharArray); strcat(header5, ""\r\n"");
    	int messageLength = count(requestLine) + count(header2) + count(header3) + count(header4) + count(header5) + 2 + count(body);

",header5 bounds exceeded
2021\cslim\test\libglusterfs\call-stub.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\libglusterfs\call-stub.cpp.c,"extern char *strcat (char *__restrict __dest, const char *__restrict __src)",120,0,"

extern char *strcat (char *__restrict __dest, const char *__restrict __src)
     __attribute__ ((__nothrow__ , __leaf__)) __attribute__ ((__nonnull__ (1, 2)));

",
2021\cslim\test\libglusterfs\logging.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\libglusterfs\logging.cpp.c,"strcat (msg, str2);",120,1,"
        strcpy (msg, str1);
        strcat (msg, str2);

        ret = eh_save_history (this->history, msg);
",
2021\cslim\test\libglusterfs\options.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\libglusterfs\options.cpp.c,"strcat (given_array, opt->value[i]);",120,0,"
        for (i = 0; (i < 64) && opt->value[i];) {
                strcat (given_array, opt->value[i]);
                if (((++i) < 64) &&
                    (opt->value[i]))
",
2021\cslim\test\libglusterfs\options.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\libglusterfs\options.cpp.c,"strcat (given_array, "", "");",120,0,"                if (((++i) < 64) &&
                    (opt->value[i]))
                        strcat (given_array, "", "");
                else
                        strcat (given_array, ""."");
",
