GithubID,Year,FullPath,Codesnippet,CWE,isTrueVulnerable,Codesnippet5,
2021\a9_gsm_gps_library\a9_spi_lib\src\spi_example.c,Dataset Download,../../Dataset Download/2021\a9_gsm_gps_library\a9_spi_lib\src\spi_example.c,"strcpy(send_buff, ""123456789"");",120,0,"	memset(rev_buff, 0, sizeof(rev_buff));

	strcpy(send_buff, ""123456789"");

	while(1)
",
2021\arduino-learn-circuit\libraries\ArduinoJson\test\Misc\deprecated.cpp,Dataset Download,../../Dataset Download/2021\arduino-learn-circuit\libraries\ArduinoJson\test\Misc\deprecated.cpp,"strcpy(original, ""world"");",120,?,"    char original[] = ""hello"";
    const char* copy = buffer.strdup(original);
    strcpy(original, ""world"");
    REQUIRE(std::string(""hello"") == copy);
  }
",
2021\arduino-learn-circuit\libraries\ArduinoJson\test\Misc\vla.cpp,Dataset Download,../../Dataset Download/2021\arduino-learn-circuit\libraries\ArduinoJson\test\Misc\vla.cpp,"strcpy(vla, ""[42]"");",120,0,"    int i = 8;
    char vla[i];
    strcpy(vla, ""[42]"");

    StaticJsonBuffer<JSON_ARRAY_SIZE(1)> jsonBuffer;
",
2021\arduino-learn-circuit\libraries\ArduinoJson\test\Misc\vla.cpp,Dataset Download,../../Dataset Download/2021\arduino-learn-circuit\libraries\ArduinoJson\test\Misc\vla.cpp,"strcpy(vla, ""{\""a\"":42}"");",120,0,"    int i = 16;
    char vla[i];
    strcpy(vla, ""{\""a\"":42}"");

    StaticJsonBuffer<JSON_OBJECT_SIZE(1)> jsonBuffer;
",
2021\arduino-learn-circuit\libraries\ArduinoJson\test\Misc\vla.cpp,Dataset Download,../../Dataset Download/2021\arduino-learn-circuit\libraries\ArduinoJson\test\Misc\vla.cpp,"strcpy(vla, ""42"");",120,0,"    int i = 16;
    char vla[i];
    strcpy(vla, ""42"");

    StaticJsonBuffer<1> jsonBuffer;
",
2021\arduino-learn-circuit\libraries\ArduinoJson\test\Misc\vla.cpp,Dataset Download,../../Dataset Download/2021\arduino-learn-circuit\libraries\ArduinoJson\test\Misc\vla.cpp,"strcpy(vla, ""hello"");",120,0,"    int i = 16;
    char vla[i];
    strcpy(vla, ""hello"");

    DynamicJsonBuffer jsonBuffer;
",
2021\arduino-learn-circuit\libraries\ArduinoJson\test\Misc\vla.cpp,Dataset Download,../../Dataset Download/2021\arduino-learn-circuit\libraries\ArduinoJson\test\Misc\vla.cpp,"strcpy(vla, ""world"");",120,0,"    int i = 32;
    char vla[i];
    strcpy(vla, ""world"");

    DynamicJsonBuffer jsonBuffer;
",
2021\arduino-learn-circuit\libraries\pubsubclient-master\tests\src\receive_spec.cpp,Dataset Download,../../Dataset Download/2021\arduino-learn-circuit\libraries\pubsubclient-master\tests\src\receive_spec.cpp,"strcpy(lastTopic,topic);",120,1,"void callback(char* topic, byte* payload, unsigned int length) {
    callback_called = true;
    strcpy(lastTopic,topic);
    memcpy(lastPayload,payload,length);
    lastLength = length;
",topic may be larger than lastopic
2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_draw\lv_img_decoder.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_draw\lv_img_decoder.c,"strcpy((char *)dsc->src, src);",120,0,"        size_t fnlen = strlen(src);
        dsc->src = lv_mem_alloc(fnlen + 1);
        strcpy((char *)dsc->src, src);
    }
    else {
",
2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_widgets\lv_calendar.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_widgets\lv_calendar.c,"strcpy(&txt_buf[5], get_month_name(calendar, ext->showed_date.month));",120,0,"    txt_buf[4] = ' ';
    txt_buf[5] = '\0';
    strcpy(&txt_buf[5], get_month_name(calendar, ext->showed_date.month));

    calendar->state = LV_STATE_DEFAULT;
",
