GithubID,Year,FullPath,Codesnippet,CWE,isTrueVulnerable,Codesnippet5
2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\tests\lv_test_assert.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\tests\lv_test_assert.c,"size_t rcnt = fread(header, 1, 8, fp);",120,1,"    if (!fp)
        lv_test_exit(""[read_png_file] File %s could not be opened for reading"", file_name);
    size_t rcnt = fread(header, 1, 8, fp);
    if (rcnt != 8 || png_sig_cmp((png_const_bytep)header, 0, 8))
        lv_test_exit(""[read_png_file] File %s is not recognized as a PNG file"", file_name);
"
2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\tests\lv_test_main.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\tests\lv_test_main.c,"*br = fread(buf, 1, btr, fp);",120,1,"
    FILE * fp = *((FILE **) file_p);
    *br = fread(buf, 1, btr, fp);
    return (*br <= 0) ? LV_FS_RES_UNKNOWN : LV_FS_RES_OK;
}
"
2021\aws-edukit-example\components\esp-cryptoauthlib\cryptoauthlib\lib\hal\hal_linux_kit_hid.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\esp-cryptoauthlib\cryptoauthlib\lib\hal\hal_linux_kit_hid.c,"bytes_read = fread(&rxdata[total_bytes_read], sizeof(uint8_t), 1,",120,?,"    do
    {
        bytes_read = fread(&rxdata[total_bytes_read], sizeof(uint8_t), 1,
                           pHid->kits[cfg->atcahid.idx].read_handle);
        if (ferror(pHid->kits[cfg->atcahid.idx].read_handle) != 0)
"
2021\c-vertices-sdk\examples\unix\main.c,Dataset Download,../../Dataset Download/2021\c-vertices-sdk\examples\unix\main.c,"bytes_read = fread(alice_account.private_key, 1, 64, f);",120,?,"        LOG_INFO(""🔑 Loading private key from: %s"", CONFIG_PATH ""private_key.bin"");

        bytes_read = fread(alice_account.private_key, 1, 64, f);
        fclose(f);
    }
"
2021\cslim\test\sqlite312-cpp\shell.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\sqlite312-cpp\shell.cpp.c,"if( pBuf && 1==fread(pBuf, nIn, 1, in) ){",120,?,"  rewind(in);
  pBuf = sqlite3_malloc64( nIn );
  if( pBuf && 1==fread(pBuf, nIn, 1, in) ){
    sqlite3_result_blob(context, pBuf, nIn, sqlite3_free);
  }else{
"
2021\deneyapkart-arduino-core\tools\sdk\include\app_trace\esp_app_trace.h,Dataset Download,../../Dataset Download/2021\deneyapkart-arduino-core\tools\sdk\include\app_trace\esp_app_trace.h,"size_t esp_apptrace_fread(esp_apptrace_dest_t dest, void *ptr, size_t size, size_t nmemb, void *stream);",120,?," * @return Number of read items. See fread for details.
 */
size_t esp_apptrace_fread(esp_apptrace_dest_t dest, void *ptr, size_t size, size_t nmemb, void *stream);

/**
"
2021\deneyapkart-arduino-core\tools\sdk\include\json\tests\common.h,Dataset Download,../../Dataset Download/2021\deneyapkart-arduino-core\tools\sdk\include\json\tests\common.h,"read_chars = fread(content, sizeof(char), (size_t)length, file);",120,?,"
    /* read the file into memory */
    read_chars = fread(content, sizeof(char), (size_t)length, file);
    if ((long)read_chars != length)
    {
"
2021\enemy\servertor.c,Dataset Download,../../Dataset Download/2021\enemy\servertor.c,"if( 1!=fread( buffer , lSize, 1 , fp) ){",120,?,"                }
                /* copy the file into the buffer */
                if( 1!=fread( buffer , lSize, 1 , fp) ){
                  fclose(fp);
                  free(buffer);
"
2021\haas-mini-program\adapter\include\amp_fs.h,Dataset Download,../../Dataset Download/2021\haas-mini-program\adapter\include\amp_fs.h,"int amp_fread(void *buff, unsigned int size, unsigned int count, void *stream);",120,?," *          of the error.
 */
int amp_fread(void *buff, unsigned int size, unsigned int count, void *stream);

/**
"
2021\haas-mini-program\adapter\platform\aos-haas100\amp_fs.c,Dataset Download,../../Dataset Download/2021\haas-mini-program\adapter\platform\aos-haas100\amp_fs.c,"int amp_fread(void *buff, unsigned int size, unsigned int count, void *stream)",120,?,"}

int amp_fread(void *buff, unsigned int size, unsigned int count, void *stream)
{
    return fread(buff, (size_t)size, (size_t)count, (FILE *)stream);
"
2021\haas-mini-program\adapter\platform\aos-haas100\amp_fs.c,Dataset Download,../../Dataset Download/2021\haas-mini-program\adapter\platform\aos-haas100\amp_fs.c,"return fread(buff, (size_t)size, (size_t)count, (FILE *)stream);",120,?,"int amp_fread(void *buff, unsigned int size, unsigned int count, void *stream)
{
    return fread(buff, (size_t)size, (size_t)count, (FILE *)stream);
}

"
2021\haas-mini-program\adapter\platform\linux\amp_system.c,Dataset Download,../../Dataset Download/2021\haas-mini-program\adapter\platform\linux\amp_system.c,"ret = fread(&output, sizeof(unsigned int), 1, handle);",120,?,"        return 0;
    }
    ret = fread(&output, sizeof(unsigned int), 1, handle);
    if (ret != 1) {
        printf(""fread error: %d\n"", (int)ret);
"
2021\haas-mini-program\components\ota\hal\ota_hal_ctrl.c,Dataset Download,../../Dataset Download/2021\haas-mini-program\components\ota\hal\ota_hal_ctrl.c,"ret = ota_fread(tmp_buf, read_len, 1, fptr);",120,?,"    while(offset < param->len) {
        (param->len - offset >= sizeof(tmp_buf)) ? (read_len = sizeof(tmp_buf)) : (read_len = param->len - offset);
        ret = ota_fread(tmp_buf, read_len, 1, fptr);
        if (ret < 0) {
            OTA_LOG_E(""verify fs file read file failed\r\n"");
"
2021\haas-mini-program\components\ota\hal\ota_hal_fs_ctrl.c,Dataset Download,../../Dataset Download/2021\haas-mini-program\components\ota\hal\ota_hal_fs_ctrl.c,"OTA_WEAK int ota_fread(const void *ptr, unsigned int size, unsigned int nmemb, void *stream)",120,?,"}

OTA_WEAK int ota_fread(const void *ptr, unsigned int size, unsigned int nmemb, void *stream)
{
    int ret = -1;
"
2021\haas-mini-program\components\ota\hal\ota_hal_fs_ctrl.c,Dataset Download,../../Dataset Download/2021\haas-mini-program\components\ota\hal\ota_hal_fs_ctrl.c,"ret = amp_fread(ptr, size, nmemb, (FILE*)stream);",120,?,"    int ret = -1;
    if((ptr != NULL) && (stream != NULL)) {
        ret = amp_fread(ptr, size, nmemb, (FILE*)stream);
    }
    return ret;
"
2021\haas-mini-program\components\ota\hal\ota_hal_fs_plat.c,Dataset Download,../../Dataset Download/2021\haas-mini-program\components\ota\hal\ota_hal_fs_plat.c,"read_len = ota_fread(read_buf, 1, sizeof(read_buf) - 1, fptr);",120,?,"        else {
            memset(read_buf, 0x00, sizeof(read_buf));
            read_len = ota_fread(read_buf, 1, sizeof(read_buf) - 1, fptr);
            if(read_len > 13) {
                pos = strstr(read_buf, ""\""version\"":"");
"
2021\haas-mini-program\components\ota\include\ota_import.h,Dataset Download,../../Dataset Download/2021\haas-mini-program\components\ota\include\ota_import.h,"int ota_fread(const void *ptr, unsigned int size, unsigned int nmemb, void *stream);",120,?,"void *ota_fopen(const char *filename, const char *mode);
int ota_fwrite(const void *ptr, unsigned int size, unsigned int nmemb, void *stream);
int ota_fread(const void *ptr, unsigned int size, unsigned int nmemb, void *stream);
int ota_reboot_module(char *module_name);

"
2021\haas-mini-program\components\ota\ota_agent\tools\upack_data_file.c,Dataset Download,../../Dataset Download/2021\haas-mini-program\components\ota\ota_agent\tools\upack_data_file.c,"read_len = ota_fread(&pack_head, 1, sizeof(data_file_pack_head_t), read_fd);",120,?,"       read_fd = ota_fopen(pack_file, ""rb"");
       if(read_fd != NULL) {
           read_len = ota_fread(&pack_head, 1, sizeof(data_file_pack_head_t), read_fd);
           OTA_LOG_E(""read_len = %d\r\n"", read_len);
           if(read_len != sizeof(data_file_pack_head_t) ||
"
2021\haas-mini-program\components\ota\ota_agent\tools\upack_data_file.c,Dataset Download,../../Dataset Download/2021\haas-mini-program\components\ota\ota_agent\tools\upack_data_file.c,"read_len = ota_fread(&file_info, 1, sizeof(data_file_infor_t), read_fd);",120,?,"                ret = 0;
                for(i = 0; i < pack_head.file_numb; i++) {
                    read_len = ota_fread(&file_info, 1, sizeof(data_file_infor_t), read_fd);
                    if(read_len != sizeof(data_file_infor_t)) {
                        ret = -1;
"
2021\haas-mini-program\components\ota\ota_agent\tools\upack_data_file.c,Dataset Download,../../Dataset Download/2021\haas-mini-program\components\ota\ota_agent\tools\upack_data_file.c,"read_len = ota_fread(&tmp_file_name[upack_path_len], 1, tmp_file_name_len, read_fd);",120,?,"                        }
                        else {
                            read_len = ota_fread(&tmp_file_name[upack_path_len], 1, tmp_file_name_len, read_fd);
                            if(read_len != tmp_file_name_len) {
                                ret = -1;
"
2021\haas-mini-program\components\ota\ota_agent\tools\upack_data_file.c,Dataset Download,../../Dataset Download/2021\haas-mini-program\components\ota\ota_agent\tools\upack_data_file.c,"read_len = ota_fread(tmp_buf, 1, tmp_read_len, read_fd);",120,?,"                               while(has_read_len < file_info.file_size) {
                                   file_info.file_size - has_read_len > sizeof(tmp_buf) ? (tmp_read_len = sizeof(tmp_buf)) : (tmp_read_len = file_info.file_size - has_read_len);
                                   read_len = ota_fread(tmp_buf, 1, tmp_read_len, read_fd);
                                   if(read_len != tmp_read_len) {
                                       ota_fclose(write_fd);
"
2021\haas-mini-program\engine\duktape_engine\be.c,Dataset Download,../../Dataset Download/2021\haas-mini-program\engine\duktape_engine\be.c,"amp_fread(pkg_data, 1, sb.st_size, fp);",120,?,"
    void *fp = amp_fopen(resolved_path, ""r"");
    amp_fread(pkg_data, 1, sb.st_size, fp);
    amp_fclose(fp);
    pkg_data[sb.st_size] = '\0';
"
2021\haas-mini-program\engine\duktape_engine\be.c,Dataset Download,../../Dataset Download/2021\haas-mini-program\engine\duktape_engine\be.c,"amp_fread(data, 1, len, fp);",120,?,"    }

    amp_fread(data, 1, len, fp);
    duk_push_lstring(ctx, data, len);
    amp_free(data);
"
2021\haas-mini-program\engine\duktape_engine\be.c,Dataset Download,../../Dataset Download/2021\haas-mini-program\engine\duktape_engine\be.c,"amp_fread(file_data, 1, sb.st_size, fp);",120,?,"
    void *fp = amp_fopen(filename, ""r"");
    amp_fread(file_data, 1, sb.st_size, fp);
    amp_fclose(fp);
    duk_push_pointer(duk_ctx, (void *)file_data);
"
2021\haas-mini-program\engine\duktape_engine\addons\utils\builtin\module_builtin.c,Dataset Download,../../Dataset Download/2021\haas-mini-program\engine\duktape_engine\addons\utils\builtin\module_builtin.c,"amp_fread(json_data + strlen(GLOBAL_APPCONFIG_STRING_1), 1, len, json_fd);",120,?,"    amp_fseek(json_fd, 0, HAL_SEEK_SET, &curpos);
    strncpy(json_data, GLOBAL_APPCONFIG_STRING_1, global_config_len);
    amp_fread(json_data + strlen(GLOBAL_APPCONFIG_STRING_1), 1, len, json_fd);
    strcpy(json_data + strlen(GLOBAL_APPCONFIG_STRING_1) + len, GLOBAL_APPCONFIG_STRING_2);

"
2021\haas-mini-program\engine\duktape_engine\addons\utils\fs\module_fs.c,Dataset Download,../../Dataset Download/2021\haas-mini-program\engine\duktape_engine\addons\utils\fs\module_fs.c,"len = amp_fread(buf, 1, size, fp);",120,?,"    }

    len = amp_fread(buf, 1, size, fp);
    if (len > 0) {
        buf[len] = 0;
"
2021\haas-mini-program\engine\duktape_engine\startup\page_entry.c,Dataset Download,../../Dataset Download/2021\haas-mini-program\engine\duktape_engine\startup\page_entry.c,"amp_fread(json_data, 1, file_len, json_fd);",120,?,"    }
    amp_fseek(json_fd, 0, SEEK_SET, &curpos);
    amp_fread(json_data, 1, file_len, json_fd);
    amp_fclose(json_fd);

"
