GithubID,Year,FullPath,Codesnippet,CWE,isTrueVulnerable,Codesnippet5
2021\arduino-learn-circuit\libraries\arduinoWebSockets-master\src\WebSockets.cpp,Dataset Download,../../Dataset Download/2021\arduino-learn-circuit\libraries\arduinoWebSockets-master\src\WebSockets.cpp,"memcpy((dataPtr + WEBSOCKETS_MAX_HEADER_SIZE), payload, length);",120,1,"        uint8_t * dataPtr = (uint8_t *) malloc(length + WEBSOCKETS_MAX_HEADER_SIZE);
        if(dataPtr) {
            memcpy((dataPtr + WEBSOCKETS_MAX_HEADER_SIZE), payload, length);
            headerToPayload = true;
            useInternBuffer = true;
"
2021\arduino-learn-circuit\libraries\arduinoWebSockets-master\src\libsha1\libsha1.c,Dataset Download,../../Dataset Download/2021\arduino-learn-circuit\libraries\arduinoWebSockets-master\src\libsha1\libsha1.c,"memcpy(block, buffer, 64);",120,1,"#ifdef SHA1HANDSOFF
    CHAR64LONG16 block[1];  /* use array to appear as a pointer */
    memcpy(block, buffer, 64);
#else
    /* The following had better never be used because it causes the
"
2021\arduino-learn-circuit\libraries\arduinoWebSockets-master\src\libsha1\libsha1.c,Dataset Download,../../Dataset Download/2021\arduino-learn-circuit\libraries\arduinoWebSockets-master\src\libsha1\libsha1.c,"memcpy(&context->buffer[j], data, (i = 64-j));",120,1,"    j = (j >> 3) & 63;
    if ((j + len) > 63) {
        memcpy(&context->buffer[j], data, (i = 64-j));
        SHA1Transform(context->state, context->buffer);
        for ( ; i + 63 < len; i += 64) {
"
2021\arduino-learn-circuit\libraries\arduinoWebSockets-master\src\libsha1\libsha1.c,Dataset Download,../../Dataset Download/2021\arduino-learn-circuit\libraries\arduinoWebSockets-master\src\libsha1\libsha1.c,"memcpy(&context->buffer[j], &data[i], len - i);",120,1,"    }
    else i = 0;
    memcpy(&context->buffer[j], &data[i], len - i);
}

"
2021\arduino-learn-circuit\libraries\firebase-arduino-master\contrib\src\thing\Portal.cpp,Dataset Download,../../Dataset Download/2021\arduino-learn-circuit\libraries\firebase-arduino-master\contrib\src\thing\Portal.cpp,"memcpy(buffer, config.c_str(), config.length()+1);",120,1,"        String config = server_.arg(""config"");
        buffer = (char*)malloc(config.length()+1);
        memcpy(buffer, config.c_str(), config.length()+1);
      }
      { // Scoped because serializer is invalid after free().
"
2021\arduino-learn-circuit\libraries\pubsubclient-master\tests\src\receive_spec.cpp,Dataset Download,../../Dataset Download/2021\arduino-learn-circuit\libraries\pubsubclient-master\tests\src\receive_spec.cpp,"memcpy(lastPayload,payload,length);",120,1,"    callback_called = true;
    strcpy(lastTopic,topic);
    memcpy(lastPayload,payload,length);
    lastLength = length;
}
"
2021\arduino-learn-circuit\libraries\pubsubclient-master\tests\src\lib\IPAddress.cpp,Dataset Download,../../Dataset Download/2021\arduino-learn-circuit\libraries\pubsubclient-master\tests\src\lib\IPAddress.cpp,"memcpy(_address, address, sizeof(_address));",120,1,"IPAddress::IPAddress(const uint8_t *address)
{
    memcpy(_address, address, sizeof(_address));
}

"
2021\arduino-learn-circuit\libraries\pubsubclient-master\tests\src\lib\IPAddress.cpp,Dataset Download,../../Dataset Download/2021\arduino-learn-circuit\libraries\pubsubclient-master\tests\src\lib\IPAddress.cpp,"memcpy(_address, (const uint8_t *)&address, sizeof(_address));",120,1,"IPAddress& IPAddress::operator=(uint32_t address)
{
    memcpy(_address, (const uint8_t *)&address, sizeof(_address));
    return *this;
}
"
2021\aws-edukit-example\components\core2forAWS\sk6812\sk6812.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\sk6812\sk6812.c,"memcpy(neopixel_buffer, px->pixels, blen);",120,1,"	}

	memcpy(neopixel_buffer, px->pixels, blen);
	for (uint16_t i = 0; i < blen; i++) {
		float b = px->brightness / 255.0;
"
2021\aws-edukit-example\components\core2forAWS\tft\disp_spi.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\disp_spi.c,"memcpy(&queuedt, &t, sizeof t);",120,1,"    } else {
        static spi_transaction_ext_t queuedt;
        memcpy(&queuedt, &t, sizeof t);
        spi_pending_trans++;
        if (spi_device_queue_trans(spi, (spi_transaction_t *) &queuedt, portMAX_DELAY) != ESP_OK) {
"
2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_hal\lv_hal_disp.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_hal\lv_hal_disp.c,"memcpy(&disp->driver, new_drv, sizeof(lv_disp_drv_t));",120,1,"void lv_disp_drv_update(lv_disp_t * disp, lv_disp_drv_t * new_drv)
{
    memcpy(&disp->driver, new_drv, sizeof(lv_disp_drv_t));

    lv_obj_t * scr;
"
2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_widgets\lv_chart.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_widgets\lv_chart.c,"memcpy(ser->points, y_array, ext->point_cnt * (sizeof(lv_coord_t)));",120,1,"
    lv_chart_ext_t * ext = lv_obj_get_ext_attr(chart);
    memcpy(ser->points, y_array, ext->point_cnt * (sizeof(lv_coord_t)));
    ser->start_point = 0;
    lv_chart_refresh(chart);
"
2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_widgets\lv_objmask.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_widgets\lv_objmask.c,"memcpy(mask->param, param, get_param_size(dsc->type));",120,1,"    lv_draw_mask_common_dsc_t * dsc = param;

    memcpy(mask->param, param, get_param_size(dsc->type));

    lv_obj_invalidate(objmask);
"
