GithubID,Year,FullPath,Codesnippet,CWE,isTrueVulnerable,Codesnippet5
2021\aws-edukit-example\components\esp-cryptoauthlib\cryptoauthlib\lib\hal\swi_uart_at90usb1287_asf.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\esp-cryptoauthlib\cryptoauthlib\lib\hal\swi_uart_at90usb1287_asf.c,"usart_serial_getchar(instance->usart_instance, data);",120,1,"        if (rx_complete)
        {
            usart_serial_getchar(instance->usart_instance, data);
            //if ((*data == 0x7D) || (*data == 0x7F))
            // Sometimes bit data from device is stretched, resulting in a
"
2021\B-L4S5I-IOT01A-using-VL530X-via-I2C\Core\Src\syscalls.c,Dataset Download,../../Dataset Download/2021\B-L4S5I-IOT01A-using-VL530X-via-I2C\Core\Src\syscalls.c,extern int __io_getchar(void) __attribute__((weak));,120,1,"/* Variables */
extern int __io_putchar(int ch) __attribute__((weak));
extern int __io_getchar(void) __attribute__((weak));


"
2021\B-L4S5I-IOT01A-using-VL530X-via-I2C\Core\Src\syscalls.c,Dataset Download,../../Dataset Download/2021\B-L4S5I-IOT01A-using-VL530X-via-I2C\Core\Src\syscalls.c,*ptr++ = __io_getchar();,120,1,"	for (DataIdx = 0; DataIdx < len; DataIdx++)
	{
		*ptr++ = __io_getchar();
	}

"
2021\cslim\test\libglusterfs\call-stub.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\libglusterfs\call-stub.cpp.c,extern int _IO_getc (_IO_FILE *__fp);,120,1,"extern int __overflow (_IO_FILE *, int);
# 434 ""/usr/include/libio.h"" 3 4
extern int _IO_getc (_IO_FILE *__fp);
extern int _IO_putc (int __c, _IO_FILE *__fp);
extern int _IO_feof (_IO_FILE *__fp) __attribute__ ((__nothrow__ , __leaf__));
"
2021\cslim\test\libglusterfs\call-stub.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\libglusterfs\call-stub.cpp.c,extern int fgetc (FILE *__stream);,120,1,"

extern int fgetc (FILE *__stream);
extern int getc (FILE *__stream);

"
2021\cslim\test\libglusterfs\call-stub.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\libglusterfs\call-stub.cpp.c,extern int getc (FILE *__stream);,120,1,"
extern int fgetc (FILE *__stream);
extern int getc (FILE *__stream);


"
2021\cslim\test\libglusterfs\call-stub.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\libglusterfs\call-stub.cpp.c,extern int getchar (void);,120,1,"

extern int getchar (void);

# 550 ""/usr/include/stdio.h"" 3 4
"
2021\cslim\test\libglusterfs\call-stub.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\libglusterfs\call-stub.cpp.c,"extern int ungetc (int __c, FILE *__stream);",120,1,"

extern int ungetc (int __c, FILE *__stream);


"
2021\cslim\test\libglusterfs\checksum.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\libglusterfs\checksum.cpp.c,extern int gzgetc (gzFile file);,120,1,"

extern int gzgetc (gzFile file);
# 1400 ""/usr/include/zlib.h"" 3 4
extern int gzungetc (int c, gzFile file);
"
2021\cslim\test\libglusterfs\checksum.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\libglusterfs\checksum.cpp.c,"extern int gzungetc (int c, gzFile file);",120,1,"extern int gzgetc (gzFile file);
# 1400 ""/usr/include/zlib.h"" 3 4
extern int gzungetc (int c, gzFile file);
# 1412 ""/usr/include/zlib.h"" 3 4
extern int gzflush (gzFile file, int flush);
"
2021\cslim\test\sqlite312-cpp\shell.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\sqlite312-cpp\shell.cpp.c,c = fgetc(p->in);,120,1,"  int rSep = p->cRowSep;
  p->n = 0;
  c = fgetc(p->in);
  if( c==(-1) || seenInterrupt ){
    p->cTerm = (-1);
"
2021\deneyapkart-arduino-core\tools\sdk\include\newlib\stdio.h,Dataset Download,../../Dataset Download/2021\deneyapkart-arduino-core\tools\sdk\include\newlib\stdio.h,"ungetc(__c2, __p);",120,1,"        __c = __c2;
      else
        ungetc(__c2, __p);
      }
    return __c;
"
2021\deneyapkart-arduino-core\tools\sdk\include\newlib\stdio.h,Dataset Download,../../Dataset Download/2021\deneyapkart-arduino-core\tools\sdk\include\newlib\stdio.h,"#define	getc(fp)	__sgetc_r(_REENT, fp)",120,1,"#ifndef __CYGWIN__
#ifndef lint
#define	getc(fp)	__sgetc_r(_REENT, fp)
#define putc(x, fp)	__sputc_r(_REENT, x, fp)
#endif /* lint */
"
2021\deneyapkart-arduino-core\tools\sdk\include\newlib\stdio.h,Dataset Download,../../Dataset Download/2021\deneyapkart-arduino-core\tools\sdk\include\newlib\stdio.h,#define	getchar()	getc(stdin),120,1,"#endif /* !__CUSTOM_FILE_IO__ */

#define	getchar()	getc(stdin)
#define	putchar(x)	putc(x, stdout)

"
2021\enemy\servertor.c,Dataset Download,../../Dataset Download/2021\enemy\servertor.c,c=fgetc(fp);,120,1,"	fp=fopen(""login.txt"", ""r"");
	while(!feof(fp)) {
		c=fgetc(fp);
		++i;
	}
"
2021\Freak-Web-Server\externals\node12\include\node\zlib.h,Dataset Download,../../Dataset Download/2021\Freak-Web-Server\externals\node12\include\node\zlib.h,#  define z_gzgetc(g) \,120,1,"#ifdef Z_PREFIX_SET
#  undef z_gzgetc
#  define z_gzgetc(g) \
          ((g)->have ? ((g)->have--, (g)->pos++, *((g)->next)++) : (gzgetc)(g))
#else
"
2021\Freak-Web-Server\externals\node12\include\node\zlib.h,Dataset Download,../../Dataset Download/2021\Freak-Web-Server\externals\node12\include\node\zlib.h,#  define gzgetc(g) \,120,1,"          ((g)->have ? ((g)->have--, (g)->pos++, *((g)->next)++) : (gzgetc)(g))
#else
#  define gzgetc(g) \
          ((g)->have ? ((g)->have--, (g)->pos++, *((g)->next)++) : (gzgetc)(g))
#endif
"
2021\Freak-Web-Server\externals\node12\include\node\openssl\asn1.h,Dataset Download,../../Dataset Download/2021\Freak-Web-Server\externals\node12\include\node\openssl\asn1.h,"int UTF8_getc(const unsigned char *str, int len, unsigned long *val);",120,1,"DECLARE_ASN1_FUNCTIONS(ASN1_BMPSTRING)

int UTF8_getc(const unsigned char *str, int len, unsigned long *val);
int UTF8_putc(unsigned char *str, int len, unsigned long value);

"
2021\haas-mini-program\engine\duktape_engine\repl.c,Dataset Download,../../Dataset Download/2021\haas-mini-program\engine\duktape_engine\repl.c,static int32_t repl_getchar(char *inbuf),120,1,"static char repl_message[REPL_OUTBUF_SIZE] = {0};

static int32_t repl_getchar(char *inbuf)
{
    uart_dev_t repl_stdio;
"
2021\haas-mini-program\engine\duktape_engine\repl.c,Dataset Download,../../Dataset Download/2021\haas-mini-program\engine\duktape_engine\repl.c,while (repl_getchar(&c) == 1),120,1,"    }

    while (repl_getchar(&c) == 1)
    {
        if (c == RET_CHAR || c == END_CHAR)
"
2021\tuya-iotos-embeded-sdk-wifi-ble-bk7231n\platforms\bk7231n\bk7231n_os\beken378\driver\uart\Retarget.c,Dataset Download,../../Dataset Download/2021\tuya-iotos-embeded-sdk-wifi-ble-bk7231n\platforms\bk7231n\bk7231n_os\beken378\driver\uart\Retarget.c,int fgetc(FILE *f),120,1,"
/*---------------------------------------------------------------------------*/
int fgetc(FILE *f)
{
    return (-1);
"
